Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
1097, 0, 0.455896, 0.916877, 0.142444, 0.0190016, 0.0192236, -0.00690367, 0.091927, 362.623, 0.146861
1104, 0, 1.27036, 2.74936, 0.207498, 0.0214242, 0.0663069, -0.0597248, 0.0705763, 69.6502, 1.06929
1108, 0, -0.4592, 2.6466, -0.0758146, 0.0194744, 0.0189091, -0.0121579, 0.0224621, 434.209, 0.36008
1117, 0, -0.191388, 0.404897, 0.215124, 0.0184278, 0.0219146, -0.00812814, 0.0132219, 100.894, 0.22559
1120, 0, -0.493874, 1.66093, 0.294982, 0.0189071, 0.0525022, -0.0386558, -0.00600681, 29.7233, 0.509238
1126, 0, -0.884335, 4.61797, 0.180303, 0.0221635, 0.0247284, 0.219821, -0.121477, 64.5493, 0.978516
1127, 0, -0.761275, 4.66657, 0.102685, 0.0193095, 0.0189767, 0.0070983, -0.0751476, 461.589, 0.331287
1128, 0, -0.67938, 4.87191, -0.277202, 0.0182748, 0.0196261, 0.00986798, -0.154112, 58.9942, 0.623088
1130, 0, -0.10426, 0.939596, 0.4955, 0.018877, 0.0222826, 0.0627259, 0.230705, 73.4086, 0.596828
1131, 0, -0.379755, 3.89211, -0.0184698, 0.0184587, 0.0194236, 0.00213202, -0.225395, 29.426, 1.01961
1134, 0, -1.3471, 0.965307, -0.328358, 0.0205717, 0.0596034, 0.197074, 0.0129376, 143.328, 1.11127
1137, 0, -1.00597, 1.50716, -0.223217, 0.0192371, 0.0187043, -0.00144082, -0.0362853, 162.555, 0.378204
1138, 0, -0.0153752, 1.17703, -0.168687, 0.0189451, 0.0184284, -0.00923198, 0.102458, 67.2224, 0.279619
1144, 0, 0.925697, 1.43397, 0.258879, 0.0186025, 0.0360251, -0.105364, 0.170669, 45.434, 0.298333
1146, 0, -0.724102, 3.48964, -0.0171678, 0.0200251, 0.0205315, -0.00924026, 0.190697, 411.736, 1.59112
1151, 0, -0.384904, 0.883914, 0.126579, 0.0188824, 0.0185361, -0.00910721, -0.0725383, 61.6915, 0.290976
1155, 0, -1.03377, 3.84389, -0.156339, 0.0198614, 0.0217728, 0.016537, -0.0670453, 259.912, 0.991671
1156, 0, -1.23789, 4.00921, 0.159778, 0.0190136, 0.0265936, -0.0755584, -0.00938896, 932.243, 0.12242
1157, 0, 1.32086, 5.76859, 0.42062, 0.0206372, 0.0244947, 0.180834, 0.0933057, 71.1417, 0.536683
1171, 0, 1.0102, 3.40341, 0.395362, 0.0184986, 0.032951, 0.0229942, -0.0158568, 142.194, 0.299701
1180, 0, 0.176822, 0.442903, 0.293734, 0.0191839, 0.0214014, 0.0102189, -0.0893171, 160.868, 0.328649
1189, 0, 0.591376, 6.05736, 0.221475, 0.0189365, 0.020021, 0.00237516, 0.0227006, 592.481, 0.752662
1190, 0, 1.04395, 1.54467, 0.121403, 0.0181878, 0.0183778, 0.00367183, 0.0325176, 47.1061, 0.176887
