Event,subcl,eta_center,phi_center,time_center,eta_sig,phi_sig,etaphi_cov,timeeta_cov,energy,sw+,label
1127,0,0.281418,0.71902,-0.160312,0.0189789,0.0406785,-0.0129167,0.0702448,33.1069,0.825649,-1
1137,0,-0.976274,2.99518,0.524977,0.0195635,0.0264534,-0.0958305,-0.115278,47.138,1.0237,-1
1141,0,-0.101962,3.07381,0.291672,0.0218098,0.0225739,-0.0157117,-0.0732769,97.2807,0.356168,-1
1149,0,-0.648949,5.71092,0.0043954,0.0194617,0.019084,0.01887,-0.0524308,66.6485,0.584607,-1
1151,0,-0.967634,0.745282,-0.0958786,0.0199106,0.0207954,0.000798453,-0.0312528,234.287,1.68033,-1
1162,0,-1.29223,4.44205,0.20008,0.0197828,0.0257236,0.149496,-0.0549699,646.039,0.250999,-1
1163,0,0.0322318,0.200887,0.0289389,0.018987,0.0206117,-0.00515242,-0.0401761,303.444,0.375365,-1
117,0,0.940683,0.111769,-0.0772927,0.0187633,0.0193715,0.00446395,-0.000212078,658.832,0.190585,-1
122,0,-0.300477,1.75328,-0.166876,0.019527,0.018392,0.00324589,-0.0566184,66.9133,0.563402,-1
1178,0,-0.189178,3.73866,0.0728948,0.0201954,0.0242896,0.148631,0.00481251,39.7602,1.28669,-1
1184,0,-1.21367,5.04973,0.187629,0.0238836,0.0275427,-0.157668,-0.0222023,90.8452,0.912104,-1
1187,0,-1.30878,0.374643,0.169015,0.0201621,0.0398209,0.0202038,-0.0586803,421.112,0.284186,-1
1192,0,0.885862,3.13439,-0.273164,0.0260486,0.0666693,0.147307,-0.0922642,72.3182,1.26321,-1
1203,0,-0.102578,6.00375,-0.320094,0.0190811,0.0206116,-0.00167529,-0.0392243,367.053,1.1394,-1
1210,0,-0.228401,0.281917,0.112747,0.0191586,0.0199268,0.000342095,0.00226548,97.1533,0.799117,-1
1213,0,0.0313412,3.27152,0.128591,0.0185868,0.0186536,0.00102126,-0.184665,104.052,0.187631,-1
1222,0,-0.145524,5.75143,0.143193,0.0202033,0.0201826,-0.0137871,-0.00142624,444.031,0.618346,-1
1242,0,0.221356,1.7924,0.262692,0.0234824,0.0211522,-0.0473644,-0.190559,71.7014,0.717047,-1
1242,1,0.208638,1.78894,0.291769,0.0226349,0.0242733,0.181165,-0.089416,72.8152,0.23611,-1
1254,0,0.820644,6.18545,-0.0703777,0.0183321,0.0193282,-0.00353555,-0.0626248,170.296,0.28249,-1
1255,0,1.05612,3.13931,0.39558,0.0217835,0.0334244,-0.00855391,-0.028925,75.0486,0.458153,-1
129,0,1.18731,0.951204,0.234958,0.0190783,0.0195407,-0.00233861,0.0199537,890.51,0.209596,-1
131,0,0.0491313,0.672328,0.373223,0.0183491,0.0184546,-0.00088173,0.0257528,80.7611,0.151786,-1
1260,0,-0.911714,4.5408,0.230468,0.0199309,0.0280352,0.0861244,0.0295889,464.813,0.631593,-1
1264,0,-0.88558,1.31217,0.24943,0.0195834,0.0201635,-0.0170603,0.0519949,450.937,0.676284,-1
1269,0,-0.792556,4.26888,0.386376,0.021576,0.0213426,-0.0418345,-0.0298713,484.304,0.124064,-1
1270,0,0.661317,0.567541,-0.234082,0.0186119,0.0189777,-0.000119564,0.0597905,216.57,0.177069,-1
1282,0,-0.158444,6.17139,0.264581,0.019127,0.0190081,-0.00804044,-0.0494165,335.851,0.244595,-1
1286,0,0.214708,0.933946,0.115306,0.0200158,0.0191764,-0.0176081,0.0422133,489.909,0.650387,-1
1287,0,0.874365,0.135746,-0.225692,0.0194115,0.0456268,0.282586,-0.171464,58.1259,0.186241,-1
1297,0,-1.21381,5.02408,0.857046,0.0250011,0.108399,0.398136,-0.113359,41.355,1.73135,-1
1299,0,-0.753134,0.116419,0.025956,0.0198568,0.0274279,-0.0502775,0.0218269,400.757,0.660929,-1
1301,0,1.04361,4.56887,-0.114014,0.0183017,0.0196902,-0.00135573,-0.0644919,103.094,0.531706,-1
1302,0,-0.260218,0.194338,0.00905474,0.0185332,0.0218225,0.0982832,0.1345,97.4306,0.985335,-1
1306,0,1.09556,5.44052,0.0965588,0.0187245,0.0251157,-0.0134503,-0.0588223,318.669,0.362591,-1
1308,0,-0.36432,2.94572,-0.131492,0.0187959,0.020322,-0.00156242,-0.0105397,503.582,0.702095,-1
1309,0,-0.958448,3.09096,-0.0046119,0.0183693,0.0197155,-0.000349262,-0.09243,125.017,0.774704,-1
1310,0,-1.1487,2.12387,-0.229764,0.0202971,0.0343114,0.0554311,-0.158257,39.3047,0.162653,-1
1313,0,-0.9227,4.52715,0.0178963,0.0183678,0.026306,0.0206423,-0.0443708,106.64,0.924296,-1
1314,0,0.697717,0.296267,-0.27347,0.0187832,0.0199117,0.00462762,-0.0203727,106.822,0.911708,-1
1315,0,-0.761344,1.96401,-0.0380834,0.0196002,0.0193057,-0.00143141,0.0684271,718.146,0.36004,-1
1319,0,0.307999,5.52887,0.254676,0.022641,0.0237058,0.0261384,-0.147584,81.4509,0.535965,-1
1324,0,-1.27217,4.54493,-0.091463,0.0182349,0.071094,-0.104481,-0.0325909,45.2298,0.563548,-1
1327,0,-0.743117,0.658868,-0.0546791,0.0196948,0.0200497,0.0017997,-0.0494768,583.325,0.658626,-1
1330,0,-0.972261,3.04573,0.602504,0.0202975,0.0234947,0.180892,-0.211125,27.9485,0.946137,-1
1335,0,1.18484,0.4224,0.180177,0.0189656,0.020318,0.0109952,-0.0777883,974.402,0.420663,-1
136,0,0.176166,1.82958,0.829335,0.0238104,0.0231166,-0.278417,-0.515846,13.9508,1.06979,-1
1349,0,0.255316,5.87255,0.0912939,0.0195384,0.0192238,0.0094656,0.0361813,332.739,0.423207,-1
1351,0,-1.09392,1.98211,-0.154006,0.0184616,0.0186355,0.00918338,-0.0345143,244.511,0.162308,-1
1364,0,0.909035,2.88917,-0.143236,0.0196537,0.018167,0.0178128,0.143801,105.381,0.261668,-1
1367,0,1.393,3.68138,-0.00709009,0.0192112,0.0370421,-0.0808194,0.0656091,386.89,0.911757,-1
1371,0,0.0678607,6.1664,0.0525575,0.0189316,0.0199894,-0.0106008,0.116449,540.413,0.418523,-1
1375,0,0.436273,5.64751,0.0847889,0.0195125,0.0195075,0.0130382,0.0201161,291.886,0.155176,-1
1381,0,0.614194,6.04518,-0.176802,0.0189692,0.0186417,-0.00815677,0.0436163,36.7777,0.41182,-1
1386,0,0.454565,1.09948,-0.102718,0.0187777,0.0216076,-0.00220744,0.174137,197.39,0.599066,-1
1392,0,-1.38979,0.652249,0.133246,0.0185466,0.0200048,0.00584917,0.0833128,235.062,0.32231,-1
1393,0,-1.33232,6.11212,0.403646,0.0229426,0.0237734,-0.0446868,-0.178507,54.13,0.399258,-1
1395,0,-0.10397,0.89157,0.111401,0.0187993,0.0222744,-0.0732082,0.00550865,78.2079,0.955542,-1
1402,0,-0.349493,0.269588,0.066454,0.0206247,0.0197647,0.118607,0.0525471,89.5839,0.276487,-1
1408,0,1.04355,2.31224,0.283053,0.0181263,0.0192827,-0.00323059,-0.0274277,57.2933,0.239294,-1
1410,0,-0.746781,1.78588,-0.369284,0.0182426,0.0262248,0.000884011,0.173049,77.5158,0.509408,-1
1416,0,0.591101,4.63093,0.0185112,0.0189467,0.0343976,-0.0596639,0.0674369,171.936,0.238954,-1
1416,1,-0.521075,1.57798,0.159792,0.0211454,0.0505699,-0.0141836,-0.0424726,71.2217,0.535989,-1
1417,0,1.18367,5.07903,-0.198909,0.0188164,0.0224814,-0.0111058,-0.0998585,112.765,1.20835,-1
1418,0,1.14148,3.22692,0.745746,0.0223211,0.0235692,-0.226944,0.284007,22.3418,0.380601,-1
1423,0,0.192548,4.94667,0.206335,0.0191565,0.0200815,0.00164595,-0.0464524,504.368,0.20728,-1
1431,0,1.2218,0.472377,0.265097,0.0190471,0.0208869,0.000712783,-0.0888252,690.253,0.747095,-1
1436,0,-1.34386,3.36131,-0.219532,0.0196144,0.0244924,0.0402949,-0.0355676,81.0665,0.611788,-1
1438,0,-0.820416,3.40667,0.489319,0.0185131,0.0230124,0.00244102,-0.0387132,92.4508,0.803596,-1
145,0,-0.527514,3.93492,0.242572,0.0192943,0.0203241,-0.0129933,-0.0522016,425.371,0.332994,-1
146,0,0.577172,0.919812,0.0965307,0.0184642,0.0186901,-0.000459168,-0.0497792,54.0325,0.249124,-1
1441,0,1.3923,3.98681,0.123219,0.0184256,0.0219173,-0.00685597,-0.0232452,166.929,0.242909,-1
1445,0,0.466344,5.88632,-0.133786,0.0216744,0.0226999,0.031337,0.0359885,94.846,0.508316,-1
1472,0,1.31895,4.76734,-0.163441,0.0196273,0.0205659,-0.011198,0.0108403,688.87,1.47433,-1
1489,0,0.877403,1.1424,0.29954,0.0198293,0.0191016,0.0056744,-0.140581,763.978,0.40062,-1
1491,0,-1.16932,2.41755,0.167071,0.01879,0.0191009,0.00368243,0.090938,895.803,0.147831,-1
1503,0,0.643825,2.74998,-0.261106,0.0180991,0.0183056,0.0146369,0.158821,39.361,0.178867,-1
1505,0,0.870863,0.183582,0.232376,0.0184437,0.0190062,-0.00272746,-0.232795,60.3358,0.115569,-1
1507,0,-0.209986,0.186473,0.261154,0.0212254,0.0188435,-0.0396202,0.179025,134.812,0.373481,-1
1514,0,0.110513,5.15387,0.078575,0.0222648,0.0234945,0.0212825,0.00255152,70.4732,0.678361,-1
1518,0,0.985147,5.56531,0.1152,0.0198978,0.0199933,-0.0111597,-0.0580113,233.344,1.06795,-1
153,0,-0.309073,0.496938,0.0513042,0.0192892,0.021449,0.00903254,-0.00854676,265.357,0.372446,-1
158,0,0.777636,1.08357,-0.148764,0.0188011,0.0196292,-0.00492817,0.0913053,42.3676,0.880123,-1
1530,0,0.0693826,3.97993,0.230708,0.018397,0.0193794,-0.0206841,0.27533,35.9251,0.631284,-1
1531,0,-1.18998,4.38696,0.0438121,0.020184,0.0386463,0.263662,-0.00289948,142.829,0.623746,-1
1544,0,-0.817214,4.62025,0.319277,0.0264792,0.0775034,0.134539,-0.111844,28.1903,1.09479,-1
1551,0,0.593584,0.881168,-0.258006,0.0183427,0.0191492,0.000261101,-0.129236,60.2529,0.0919351,-1
1552,0,-0.103674,5.13549,-0.0902679,0.0183245,0.0374635,-0.000227984,-0.0450165,101.819,0.214558,-1
1553,0,0.102463,3.57681,-0.238045,0.0191894,0.0232787,-0.0198082,0.322225,47.0708,0.169746,-1
1555,0,0.88589,1.60738,0.283441,0.019668,0.021055,-0.00628927,0.0247416,700.612,1.34685,-1
1560,0,-1.25143,3.03566,0.411821,0.0202336,0.0237564,0.0603234,-0.082039,179.011,0.933355,-1
1566,0,-0.720906,3.20412,0.100481,0.0203222,0.0197757,-0.0177282,-0.0380229,647.116,0.938673,-1
1569,0,-0.565474,5.74624,0.221737,0.0198473,0.0209457,0.00935136,0.0442655,232.838,0.820133,-1
1571,0,1.01154,0.594709,-0.00180557,0.0197037,0.0351651,0.129686,0.0775248,34.464,0.351704,-1
1573,0,0.555271,0.54643,0.0934863,0.0196934,0.0208355,0.0112464,0.00335731,644.023,0.663583,-1
1574,0,1.12052,1.80194,0.187689,0.0201414,0.0291434,0.068007,-0.0435962,378.76,1.22126,-1
1592,0,-0.10761,2.80491,-0.275108,0.0190301,0.0192555,-0.0363643,0.0964322,56.7925,0.474947,-1
1595,0,-0.132047,3.76321,-0.657231,0.0224009,0.018116,-0.0235624,-0.412371,9.91957,1.23189,-1
1596,0,0.819853,3.72391,-0.106558,0.0202893,0.0224579,-0.0192063,0.0521869,95.2904,0.639221,-1
1606,0,0.854897,0.57157,-0.0458082,0.0186907,0.0221269,0.000234307,-0.0383481,409.303,0.308096,-1
1614,0,-0.379587,4.77182,0.0531037,0.0191153,0.0195497,-0.00996339,-0.0210149,459.042,0.297439,-1
1617,0,0.0105725,5.60665,0.494625,0.0187294,0.0198014,-0.0422443,-0.137844,121.163,0.422028,-1
1621,0,-1.40918,5.54765,0.342574,0.0185391,0.0231388,-0.0153049,-0.104503,781.144,0.545743,-1
1622,0,-0.44301,0.185605,0.0782729,0.0205492,0.0289164,0.0454486,0.10863,39.8735,0.205954,-1
1629,0,0.988342,0.80804,0.123673,0.0196058,0.0201832,0.0127592,0.0374528,732.502,0.463911,-1
1638,0,-0.804182,5.51937,0.178234,0.019027,0.0242932,-0.0888499,0.0736858,101.971,0.832006,-1
1639,0,0.156967,2.35887,-0.298682,0.0187608,0.020025,-0.00369284,-0.0107762,272.788,0.733246,-1
1648,0,-1.203,4.65078,-0.0762248,0.0181592,0.0183451,0.00481967,0.0318418,60.0362,0.162993,-1
1649,0,-0.905082,3.06414,0.176869,0.0239795,0.0186818,-0.0450277,-0.271326,16.2222,1.00255,-1
1655,0,-0.96042,3.08144,0.223237,0.0190443,0.0235997,-0.0260333,-0.0224843,655.681,0.173787,-1
1660,0,-0.947395,2.01794,1.49314,0.0254342,0.0973656,-0.235718,-0.0262343,22.5348,0.864485,-1
1668,0,-1.41081,1.00457,-0.0999445,0.0191304,0.0230634,0.0053113,0.0322184,490.511,0.282298,-1
1674,0,0.991958,0.707269,0.301568,0.0239022,0.0201507,0.162481,0.373381,17.5686,0.9561,-1
1686,0,-0.0993719,0.956393,0.360957,0.0206809,0.021966,0.18732,-0.124007,27.7624,0.5778,-1
1689,0,0.489399,2.67301,-0.103663,0.0205928,0.0246551,0.139293,-0.0221537,365.414,1.60273,-1
1697,0,0.609315,2.02069,0.0800095,0.0184347,0.0188482,-0.00611547,0.21197,50.844,0.342693,-1
1707,0,-0.73063,5.16957,0.1402,0.0183766,0.0369272,0.0823805,0.0891384,80.5604,0.243412,-1
178,0,0.110586,4.90207,0.0784401,0.0222515,0.0231974,-0.0358096,0.00880708,129.89,0.510913,-1
1713,0,0.935594,3.09081,0.334913,0.0222939,0.0231675,-0.0412275,0.0288523,201.331,0.495582,-1
1721,0,1.03338,1.50818,0.0685789,0.0200038,0.0189183,-0.00541134,0.121282,362.934,0.73224,-1
1723,0,0.305803,1.64974,0.102056,0.0198076,0.0187266,0.00151481,0.0979011,212.605,0.677712,-1
1727,0,-0.294639,0.272459,0.199549,0.0206376,0.0183252,-0.0300665,-0.187327,51.9971,0.387569,-1
1735,0,0.454372,2.42068,-0.00372739,0.0187358,0.019392,-0.00655134,-0.0775789,144.972,0.232429,-1
1742,0,0.259888,0.19701,0.230493,0.0181967,0.0194273,0.00399732,-0.0127572,37.1137,0.594499,-1
